"Year","Region","SiteName","DensityMean","DensitySE"
2019,"WA","Beach Haven",27.3333333333333,3.43187671366233
2019,"WA","False Bay",60,8.93681524183345
2019,"WA","Fourth of July",59.6666666666667,14.8810095236998
2019,"WA","Indian Cove",33.8333333333333,5.07554047477814
2019,"WA","North Cove",89.6666666666667,3.84418753155693
2020,"WA","Beach Haven",57.76,0
2020,"WA","False Bay",83,25.0026665244596
2020,"WA","Fourth of July",44.8333333333333,14.7770467655452
2020,"WA","Indian Cove",21.7333333333333,11.0338469165463
2020,"WA","North Cove",126.666666666667,34.0877951439775
2021,"WA","Beach Haven",0,0
2021,"WA","False Bay",36.1666666666667,7.59568591007056
2021,"WA","Fourth of July",26,8.02080627701064
2021,"WA","Indian Cove",29.8333333333333,13.1006785235643
2021,"WA","North Cove",72.5,14.8632656797444
2022,"WA","Beach Haven",0.5,0.341565025531987
2022,"WA","False Bay",58,6.73300329224139
2022,"WA","Fourth of July",48.3333333333333,20.3333333333333
2022,"WA","Indian Cove",5.33333333333333,2.72845092395748
2022,"WA","North Cove",118.166666666667,25.0431849234699
2018,"SJ","Beach Haven",21.1111111111111,0.801233616769776
2018,"SJ","False Bay",12.3333333333333,3.51188458428425
2018,"SJ","Indian Cove",7.66666666666667,2.34125638952283
2018,"SJ","North Cove",19.4444444444444,5.91712309141971
2013,"WA","Beach Haven",297.9734,0
2013,"WA","False Bay",135.8645,0
2013,"WA","Indian Cove",335.939,0
2013,"WA","North Cove",541.5969,0
2015,"WA","Beach Haven",228,58.0114931141523
2015,"WA","False Bay",45.3333333333333,17.9381653960983
2015,"WA","Indian Cove",118.666666666667,39.0782690393409
2015,"WA","North Cove",132,8.32666399786453
2016,"WA","Beach Haven",69.3333333333333,15.0259035594462
2016,"WA","False Bay",56,8.32666399786453
2016,"WA","Indian Cove",56,2.3094010767585
2017,"WA","Beach Haven",84.3333333333333,2.02758751009941
2017,"WA","False Bay",39,8.08290376865476
2017,"WA","Indian Cove",87.3333333333333,24.0578007676882
2017,"WA","North Cove",151.333333333333,58.9246222822948
