"Year","SiteName","PrevalenceMean","PrevalenceSE"
2013,"Beach Haven",0.0263157894736842,0
2013,"False Bay",0.450704225352113,0
2013,"Indian Cove",0.74,0
2013,"North Cove",0.137254901960784,0
2014,"Beach Haven",0.156666666666667,0.0266666666666667
2014,"False Bay",0.157543859649123,0.0823709900016035
2015,"Beach Haven",0.833333333333333,0.0333333333333333
2015,"False Bay",0.316666666666667,0.0666666666666667
2015,"Indian Cove",0.341228070175439,0.0677826719191281
2015,"North Cove",0.1,0.0577350269189626
2016,"Beach Haven",0.766666666666667,0.0726483157256779
2016,"False Bay",0.216666666666667,0.0440958551844098
2016,"Indian Cove",0.333333333333333,0.120185042515466
2017,"Beach Haven",0.933053221288515,0.0187675070028011
2017,"False Bay",0.650913900913901,0.0773309254273513
2017,"Indian Cove",0.758263305322129,0.0722173181333684
2017,"North Cove",0.914285714285714,0.0285714285714286
2018,"Beach Haven",1,0
2018,"False Bay",0.908739837398374,0.0683365253192564
2018,"Fourth of July",0.70832137733142,0.0526431548543674
2018,"Indian Cove",0.907727652464495,0.0235964538862055
2018,"North Cove",0.975,0.0144337567297407
2019,"Beach Haven",0.991666666666667,0.00833333333333334
2019,"False Bay",0.566666666666667,0.0421637021355784
2019,"Fourth of July",0.575,0.148183444869302
2019,"Indian Cove",0.508333333333333,0.0712000312109794
2019,"North Cove",0.881223893065998,0.0439382088731887
2020,"Beach Haven",0.558333333333333,0.0995127015901879
2020,"False Bay",0.433333333333333,0.0477260702109212
2020,"Fourth of July",0.641666666666667,0.0840799883708629
2020,"Indian Cove",0.458333333333333,0.0700198384586667
2020,"North Cove",0.475,0.0588075958812578
2021,"False Bay",0.225,0.0442530601578392
2021,"Fourth of July",0.537006897620708,0.0532433189486462
2021,"Indian Cove",0.391666666666667,0.0675976659689108
2021,"North Cove",0.5,0.0605530070819498
2022,"Beach Haven",0.430769230769231,0.174453217365888
2022,"False Bay",0.529197994987469,0.0677228584344282
2022,"Fourth of July",0.430555555555556,0.0781044726118505
2022,"Indian Cove",0.305003635182663,0.0711521071502989
2022,"North Cove",0.455880230880231,0.052296821536858
